Date,Solar,Rooftop_Solar,Solar_Estimated,Mini_Hydro_Telemetered,Mini_Hydro_Estimated,Biomass_Waste,Wind,Major_Hydro,Oil_IPP,Oil_CEB,Coal,Solar_Total,Mini_Hydro,Total_Generation,Sin_DayOfYear,Cos_DayOfYear,Sin_Month,Cos_Month,Sin_DayOfWeek,Cos_DayOfWeek,IsWeekend,TrendIndex,Roll7_Mean,Roll30_Mean,Roll90_Mean,Roll365_Mean,Roll30_Std,Monthly_Avg,YoY_Delta
2021-07-31,0.33,0.0,2.398876404494382,1.7691011235955056,0.1448314606741573,0.258125,1.99,19.21,0.1,3.84,17.16,2.728876404494382,1.9139325842696628,47.20093398876405,-0.48408852163897587,-0.8750190302029955,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1.0,1672.0,45.60391477728732,45.31186903089887,44.527345232521846,40.98581115322457,3.732472966213949,43.5851965890611,4.84093398876405
2021-08-01,0.34,0.0,2.3971161048689136,1.7673595505617978,0.14773408239700375,0.25796875,2.41,14.91,0.0,2.87,16.64,2.7371161048689134,1.9150936329588015,41.74017848782772,-0.4990686026885319,-0.8665624788845385,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1.0,1673.0,46.04030213349385,45.1845416471598,44.533236104608825,40.992880135383,3.7884503034070347,43.644999926886705,2.580178487827723
2021-08-02,0.32,0.0,2.3953558052434456,1.76561797752809,0.1506367041198502,0.2578125,2.85,14.72,2.47,3.78,19.51,2.7153558052434454,1.9162546816479402,48.21942298689139,-0.5139010013093103,-0.8578494977869301,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.0,1674.0,46.64097520398609,45.28652241338951,44.61434080446317,41.03230321205941,3.8287308399265885,43.644999926886705,14.38942298689139
2021-08-03,0.29,0.0,2.3935955056179776,1.763876404494382,0.15353932584269664,0.25765625000000003,3.26,13.99,3.7,4.15,19.54,2.6835955056179777,1.9174157303370787,49.49866748595505,-0.5285813283559292,-0.8488826652214553,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.0,1675.0,47.198076845906904,45.61647799625469,44.69543710986267,41.080737917500386,3.747439235310484,43.644999926886705,17.678667485955053
2021-08-04,0.33,0.0,2.391835205992509,1.7621348314606742,0.15644194756554308,0.2575,2.74,14.03,4.82,4.35,19.14,2.7218352059925093,1.9185767790262171,49.97791198501873,-0.5431052396834317,-0.8396646346181327,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.0,1676.0,47.597321344970574,45.75007506242197,44.7483027985851,41.11465000513057,3.830987120458953,43.644999926886705,12.377911985018734
2021-08-05,0.34,0.0,2.3900749063670412,1.7603932584269664,0.1593445692883895,0.25734375,3.31,13.54,4.21,4.31,19.46,2.730074906367041,1.9197378277153558,49.7371564840824,-0.5574684374327892,-0.8301981337405212,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0.0,1677.0,47.88085155831997,45.85831361189138,44.78560453729713,41.1600120776897,3.8979007127998115,43.644999926886705,16.557156484082398
2021-08-06,0.3,0.0,2.388314606741573,1.7586516853932586,0.16224719101123594,0.2571875,2.18,15.12,3.6,4.3,19.5,2.6883146067415726,1.9208988764044945,49.56640098314607,-0.5716666713027052,-0.8204859638785327,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1678.0,47.9915246288122,45.94586031132959,44.83389788155431,41.19997482010928,3.9521500163995307,43.644999926886705,14.586400983146063
2021-08-07,0.26,0.0,2.386554307116105,1.7569101123595505,0.16514981273408239,0.25703125,1.69,13.99,1.39,4.07,19.55,2.646554307116105,1.922059925093633,45.515645482209734,-0.5856957398073508,-0.8105309990194823,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,1.0,1679.0,47.75076912787587,45.88871516073659,44.897738386912195,41.22146973923862,3.945330307503062,43.644999926886705,7.845645482209733
2021-08-08,0.14,0.0,2.384794007490637,1.7551685393258427,0.16805243445692883,0.256875,2.45,12.4,0.0,1.9,18.29,2.524794007490637,1.9232209737827715,39.7448899812734,-0.5995514915196489,-0.8003361849976323,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1.0,1680.0,47.465727912653826,45.674544826779034,44.83290383114857,41.23049683507773,4.100860736144693,43.644999926886705,3.2948899812734
2021-08-09,0.29,0.0,2.3830337078651684,1.753426966292135,0.17095505617977527,0.25671875,3.64,17.04,0.0,1.95,17.72,2.6730337078651685,1.9243820224719101,45.204134480337075,-0.6132298262997502,-0.7899045386224707,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.0,1681.0,47.0349724117175,45.868349309456924,44.832727547596754,41.2704259706403,3.92732988801424,43.644999926886705,14.574134480337072
2021-08-10,0.29,0.0,2.3812734082397005,1.751685393258427,0.17385767790262172,0.2565625,2.65,17.81,0.0,2.09,18.34,2.6712734082397005,1.9255430711610488,45.743378979400745,-0.6267266965083301,-0.7792391467859886,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.0,1682.0,46.49850262506688,46.16746194210362,44.33643175847899,41.291668104830435,3.5323396947087904,43.644999926886705,7.75337897940075
2021-08-11,0.21,0.0,2.379513108614232,1.749943820224719,0.17676029962546816,0.25640625,1.76,18.29,0.0,3.39,19.22,2.589513108614232,1.9267041198501873,47.43262347846442,-0.6400381082043503,-0.7683431655492202,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.0,1683.0,46.134889981273396,46.2798827247191,44.13270979712859,41.31244241573034,3.5165881424765977,43.644999926886705,7.582623478464427
2021-08-12,0.29,0.0,2.377752808988764,1.7482022471910112,0.1796629213483146,0.25625000000000003,1.32,17.35,0.29,3.65,19.16,2.667752808988764,1.9278651685393258,46.62186797752808,-0.65316012232693,-0.7572198192083127,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0.0,1684.0,45.689848766051355,46.28661165730337,44.193783885767786,41.328118766353704,3.5170586038115386,43.644999926886705,5.721867977528085
2021-08-13,0.19,0.0,2.3759925093632956,1.7464606741573034,0.18256554307116105,0.25609375,1.13,18.67,0.0,3.54,18.06,2.5659925093632956,1.9290262172284645,46.15111247659176,-0.666088855860977,-0.7458723993404063,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1685.0,45.20195040797218,46.240315406523095,44.25009846884103,41.341025923823814,3.5091231484663736,43.644999926886705,4.711112476591765
2021-08-14,0.29,0.0,2.3742322097378277,1.7447191011235956,0.18546816479400746,0.2559375,1.18,17.18,0.0,1.19,19.16,2.6642322097378277,1.9301872659176031,43.56035697565543,-0.6788204829862355,-0.734304263829602,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,1.0,1686.0,44.922623478464416,46.09132730571161,44.29365354634832,41.346670737455746,3.525364718150937,43.644999926886705,2.0603569756554307
2021-08-15,0.21,0.0,2.3724719101123597,1.7429775280898876,0.1883707865168539,0.25578125,1.24,14.69,0.0,0.98,18.58,2.5824719101123597,1.9313483146067414,40.259601474719105,-0.6913512362094071,-0.722518835873311,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1.0,1687.0,44.9961536918138,45.83664735486891,44.19400467384519,41.34910800177005,3.663470977165478,43.644999926886705,0.8896014747191003
2021-08-16,0.28,0.0,2.3707116104868913,1.7412359550561798,0.19127340823970035,0.255625,2.33,16.92,0.0,2.98,18.93,2.6507116104868915,1.93250936329588,45.99884597378278,-0.7036774074790128,-0.7105196029692745,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.0,1688.0,45.10968390516319,45.85427555399501,44.134040740220556,41.3780363469037,3.662918206898807,43.644999926886705,10.55884597378278
2021-08-17,0.275,0.0,2.3689513108614233,1.739494382022472,0.1941760299625468,0.25546875,3.06,16.96,0.0,2.33,19.055,2.643951310861423,1.9336704119850188,46.238090472846444,-0.7157953492826642,-0.6983101158835584,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.0,1689.0,45.180356975655435,46.07487856975656,44.06942841214107,41.4308256358704,3.4686441523553295,43.644999926886705,19.268090472846445
2021-08-18,0.27,0.0,2.367191011235955,1.7377528089887642,0.19707865168539324,0.2553125,3.79,17.0,0.0,1.68,19.18,2.637191011235955,1.9348314606741575,46.47733497191011,-0.7277014757264236,-0.6858939875998223,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.0,1690.0,45.04388718900482,45.83878973548689,44.02850102294008,41.44270874538248,3.169771370056864,43.644999926886705,4.33733497191011
